Date,Open,High,Low,Close,Adj Close,Volume
1/25/2005,695,700,695,700,429.58252,22167500
1/26/2005,700,705,695,700,429.58252,32422500
1/27/2005,700,705,700,705,432.650909,3762500
1/28/2005,705,705,690,690,423.445557,27212500
1/31/2005,690,700,690,700,429.58252,5445000
2/1/2005,695,700,695,695,426.513977,4727500
2/2/2005,695,715,695,710,435.719208,49250000
2/3/2005,715,715,695,715,438.78772,8815000
2/4/2005,715,725,710,720,441.856201,26535000
2/7/2005,720,720,710,715,438.78772,4982500
2/8/2005,710,710,705,710,435.719208,3995000
2/11/2005,710,710,705,705,432.650909,3020000
2/14/2005,705,710,700,710,435.719208,6885000
2/15/2005,710,720,710,720,441.856201,12525000
2/16/2005,720,720,710,715,438.78772,3997500
2/17/2005,710,715,710,710,435.719208,6080000
2/18/2005,715,715,715,715,438.78772,5085000
2/21/2005,715,715,710,715,438.78772,7077500
2/22/2005,715,715,705,715,438.78772,2670000
2/23/2005,710,715,710,715,438.78772,5455000
2/24/2005,715,715,710,715,438.78772,7022500
2/25/2005,710,710,700,700,429.58252,13842500
2/28/2005,705,715,705,710,435.719208,9960000
3/1/2005,715,730,715,730,447.993134,24180000
3/2/2005,725,730,720,720,441.856201,8147500
3/3/2005,725,735,725,730,447.993134,4970000
3/4/2005,730,735,730,730,447.993134,13100000
3/7/2005,730,735,720,735,458.600189,17260000
3/8/2005,730,740,725,740,461.719818,5422500
3/9/2005,735,735,730,735,458.600189,2660000
3/10/2005,725,725,710,725,452.360779,2320000
3/14/2005,720,730,720,730,455.480469,4820000
3/15/2005,740,740,725,730,455.480469,2817500
3/16/2005,730,735,720,730,455.480469,10880000
3/17/2005,730,735,730,730,455.480469,1222500
3/18/2005,730,765,730,765,477.318573,28375000
3/21/2005,760,775,760,770,480.438324,16960000
3/22/2005,770,780,770,780,486.677887,8532500
3/23/2005,770,775,765,770,480.438324,5075000
3/24/2005,770,770,740,755,471.079041,2705000
3/28/2005,755,755,740,745,464.8396,3727500
3/29/2005,745,745,720,730,455.480469,5907500
3/30/2005,730,760,720,735,458.600189,8320000
3/31/2005,755,775,750,765,477.318573,13050000
4/1/2005,760,765,755,765,477.318573,2687500
4/4/2005,755,765,755,765,477.318573,2632500
4/5/2005,755,760,750,760,474.198853,5240000
4/6/2005,755,760,750,760,474.198853,1870000
4/7/2005,760,770,760,770,480.438324,8762500
4/8/2005,765,770,765,765,477.318573,9527500
4/11/2005,760,760,750,760,474.198853,840000
4/12/2005,760,775,760,775,483.558075,6260000
4/13/2005,770,780,770,780,486.677887,5445000
4/14/2005,775,775,765,765,477.318573,1165000
4/15/2005,760,760,760,760,474.198853,3797500
4/18/2005,755,755,725,730,455.480469,6190000
4/19/2005,730,735,730,735,458.600189,4892500
4/20/2005,730,740,730,735,458.600189,185000
4/21/2005,730,730,720,725,452.360779,1027500
4/25/2005,720,730,705,730,455.480469,2285000
4/26/2005,735,735,720,730,455.480469,3312500
4/27/2005,730,730,730,730,455.480469,872500
4/28/2005,735,740,735,740,461.719818,3245000
4/29/2005,730,750,730,750,467.959381,3145000
5/2/2005,745,745,740,745,464.8396,1547500
5/3/2005,740,770,740,770,480.438324,10580000
5/4/2005,765,765,760,765,477.318573,7342500
5/6/2005,750,755,750,755,471.079041,1322500
5/9/2005,750,755,745,745,464.8396,1757500
5/10/2005,745,745,740,740,461.719818,2215000
5/11/2005,730,735,730,730,455.480469,3007500
5/12/2005,735,735,730,730,455.480469,467500
5/13/2005,735,740,735,740,461.719818,3565000
5/16/2005,740,740,735,735,458.600189,2072500
5/17/2005,735,745,735,745,464.8396,2915000
5/18/2005,745,745,740,745,464.8396,3245000
5/19/2005,745,750,745,745,464.8396,4345000
5/20/2005,745,745,740,745,464.8396,5072500
5/23/2005,740,740,735,740,461.719818,2080000
5/25/2005,740,760,740,760,474.198853,16737500
5/26/2005,760,760,755,760,474.198853,7300000
5/27/2005,760,770,760,765,477.318573,7192500
5/30/2005,760,765,760,765,477.318573,5855000
5/31/2005,765,930,765,915,570.910461,82210000
6/1/2005,910,910,800,800,499.156799,62490000
6/2/2005,805,830,795,805,502.276489,37935000
6/3/2005,810,845,810,825,514.755371,26802500
6/6/2005,820,825,815,820,511.635651,3987500
6/7/2005,820,820,810,815,508.515961,1692500
6/8/2005,805,830,800,830,517.875122,3850000
6/9/2005,825,825,815,820,511.635651,1270000
6/10/2005,815,825,815,825,514.755371,72500
6/13/2005,820,820,815,815,508.515961,1442500
6/14/2005,815,825,815,820,511.635651,3307500
6/15/2005,820,845,815,815,508.515961,23767500
6/16/2005,820,825,815,815,508.515961,9560000
6/17/2005,825,835,825,830,517.875122,10855000
6/20/2005,830,835,820,820,511.635651,2930000
6/21/2005,815,820,815,815,508.515961,622500
6/22/2005,820,820,815,815,508.515961,1242500
6/23/2005,820,830,820,830,517.875122,4312500
6/24/2005,820,830,820,825,514.755371,2325000
6/27/2005,825,825,815,815,508.515961,4902500
6/28/2005,820,825,820,820,511.635651,1682500
6/29/2005,815,820,815,820,511.635651,397500
6/30/2005,820,825,815,815,508.515961,1322500
7/1/2005,825,825,820,820,511.635651,155000
7/4/2005,820,840,820,840,524.114502,11355000
7/5/2005,840,865,840,855,533.473694,10572500
7/6/2005,850,855,820,825,514.755371,6577500
7/7/2005,830,845,830,840,524.114502,7397500
7/8/2005,835,845,835,840,524.114502,2775000
7/11/2005,835,835,825,830,527.930786,2525000
7/12/2005,830,840,825,825,524.75061,4720000
7/13/2005,825,830,825,825,524.75061,1557500
7/14/2005,825,830,820,820,521.570435,5235000
7/15/2005,820,820,820,820,521.570435,4245000
7/18/2005,820,835,820,835,531.111328,6777500
7/19/2005,835,835,835,835,531.111328,0
7/20/2005,835,835,830,830,527.930786,5732500
7/21/2005,840,845,835,840,534.291443,4657500
7/22/2005,845,860,845,855,543.832458,5902500
7/25/2005,855,865,855,860,547.012756,1470000
7/26/2005,860,880,860,880,559.733765,7455000
7/27/2005,875,880,870,870,553.37323,1362500
7/28/2005,865,895,865,895,569.274902,13145000
7/29/2005,900,900,870,870,553.37323,5065000
8/1/2005,870,905,870,900,572.455261,8847500
8/2/2005,900,920,900,920,585.176392,5270000
8/3/2005,920,945,920,935,594.717285,11965000
